playlist_uri,playlist_name
spotify:playlist:05W5X8j1gvQof2ek6BJbD9,Edm Mass Appeal
spotify:playlist:05wNebiG89wzE3SnGPJu8I,Imagine Dragons (clean)
spotify:playlist:05ygJ6DcDLjmyDNj4fHKYb, Lowfi Hip Hop Chill
spotify:playlist:05yxsbRwtAWWxP1dGuvZM1,Top Hits Philippines 2022
spotify:playlist:060OJqcHEqOANo0Fu2YI3O,This Is Levi Wilson
spotify:playlist:060P7Eq99TZQm68fObSELr,working country music
spotify:playlist:06248ROAp2BclsMjaLdqGa,This is: TDE
spotify:playlist:063YbwM0ozosaC3oLKFTTq,2012++ EDM 
spotify:playlist:064RAqzNdQBD1Wnz9zKaAR,harrys house and midnights
spotify:playlist:065NSxcopkTPYnSSDaLYif,Top Italia ???? Pop Italiano 2022
spotify:playlist:068tAEM8c7ph8nIvQk5Fsy,Christian House Mix
spotify:playlist:06Ac91dIFCDCaZpiui2DSj,150 BPM EDM
spotify:playlist:06dJKfkK0jR3LgHj7z2RYA,Juice WRLD Clean (ALL SONGS)
spotify:playlist:06IosvbNdRCBNq46DxUiDw,212. Who Is: 18 Carat Affair
spotify:playlist:06jq64NrFlJZKOKRBSQyBw,This Is Afourteen
spotify:playlist:06r1fdWItVaTuXWXpR5960,GYM ENTRENO HOUSE
spotify:playlist:06S64oWn7uGnfGrwjh5IWb,Top 2022  ?? Best of 2022 : POP & DANCE HITS 2022
spotify:playlist:06SUblQMmHdepgPaczorPM,Poolside/Chill EDM Radio
spotify:playlist:06TdISaItVGdqzmOgYMPXj,Fucking Music R&B & Hip Hop
spotify:playlist:06u62F6BoNhV27zc5DW0Sn,POP INTERNACIONAL 2018/19
spotify:playlist:06ye9lYBlxKIAiueSO7BVy,Veronica Rock Hits top 500
spotify:playlist:06zrBJ5cts5aemZmqe80J7,"Tropical House ?? Tropical Covers, Tropical House Remixes, Tropical Deep House"
spotify:playlist:072ai4w1pft8zeDtiCjmAX,Clean Good Vibes
spotify:playlist:074wwm1uaugbgQ2dldjyOs,Intense EDM Workout ??
spotify:playlist:076l2r66Wql4SdelWgj2j8,Running & Cardio EDM ?????
spotify:playlist:076oNMoBFLVRfUAZ6LunU1,Jazz Edm
spotify:playlist:07C1SQg5iVmjgbhGrucy4n,Frat EDM
spotify:playlist:07EuoiRBdhenwAn5t4Sxkz,"90's Latin House, Trance, Deep House"
spotify:playlist:07iwJGOrINNNRw6Moc7Auu,This Is Us - soundtrack seasons 1 - 6
spotify:playlist:07Kw4TRKVUaIzJdiA86Kvu,slow down house
spotify:playlist:07Ngo73zqnrTb9S85XvD2s,Old School Outlaw Country
spotify:playlist:07o9fyYjA7SzCprF3Cfnnu,House Of The Dragon - Soundtrack
spotify:playlist:085ce0cBEGNtdbOwjrtM5y,this is me (afterwords)
spotify:playlist:086UBfld6HIeecFNAviz70,This Is Flux Zone 
